Name,Rating,Release_date,Genres,Director_name,Runtime,URL
Fortress,62.0,12/17/2021,"Crime,Action,Thriller",James Cullen Bressack,1h 40m,https://themoviedb.org/movie/826749
The Novice,65.0,03/24/2022,"Drama,Thriller",Lauren Hadaway,1h 34m,https://themoviedb.org/movie/821427
Boruto: Naruto the Movie,76.0,08/07/2015,"Animation,Action,Comedy",Hiroyuki Yamashita,1h 35m,https://themoviedb.org/movie/347201
Harry Potter and the Half-Blood Prince,77.0,07/07/2009,"Adventure,Fantasy",David Yates,2h 33m,https://themoviedb.org/movie/767
The Last Duel,75.0,10/22/2021,"Action,Drama,History",Ridley Scott,2h 33m,https://themoviedb.org/movie/617653
Snake Eyes: G.I. Joe Origins,67.0,07/23/2021,"Action,Adventure",Robert Schwentke,2h 1m,https://themoviedb.org/movie/568620
Coco,82.0,11/24/2017,"Family,Animation,Fantasy,Music,Comedy,Adventure",Lee Unkrich,1h 45m,https://themoviedb.org/movie/354912
Catwoman: Hunted,59.0,02/08/2022,"Animation,Action,Crime",Shinsuke Terasawa,1h 18m,https://themoviedb.org/movie/862491
Battle: Freestyle,51.0,04/01/2022,"Romance,Drama",Ingvild Søderlind,1h 28m,https://themoviedb.org/movie/785521
Pretty Guardian Sailor Moon Eternal The Movie Part 2,80.0,02/11/2021,"Animation,Action,Adventure,Comedy,Drama,Fantasy,Romance",Chiaki Kon,1h 20m,https://themoviedb.org/movie/784500
Dragon Fury,62.0,06/15/2021,"Horror,Fantasy,Mystery",Scott Jeffrey,1h 28m,https://themoviedb.org/movie/839436
Monster Hunter,68.0,12/18/2020,"Action,Fantasy,Adventure",Paul W. S. Anderson,1h 44m,https://themoviedb.org/movie/458576
Erax,50.0,02/17/2022,"Mystery,Family",Hebru Brantley,14m,https://themoviedb.org/movie/929472
Un Rabón Con Corazón,66.0,01/27/2022,Comedy,Juan Carlos Vásquez,NAN,https://themoviedb.org/movie/943158
Cheaper by the Dozen,62.0,03/18/2022,"Family,Comedy",Gail Lerner,1h 47m,https://themoviedb.org/movie/691683
An Egg Rescue,81.0,08/12/2021,"Animation,Comedy","Rodolfo Riva Palacio Alatriste,Gabriel Riva Palacio Alatriste",1h 28m,https://themoviedb.org/movie/573164
The Deep House,64.0,06/30/2021,Horror,"Alexandre Bustillo,Julien Maury",1h 25m,https://themoviedb.org/movie/672582
After Ever Happy,0.0,08/25/2022,Romance,Castille Landon,1h 59m,https://themoviedb.org/movie/744276
AI Love You,54.0,02/15/2022,"Comedy,Romance,ScienceFiction",Stephan Zlotescu,1h 35m,https://themoviedb.org/movie/928769
Zeros and Ones,52.0,11/19/2021,"Thriller,War",Abel Ferrara,1h 25m,https://themoviedb.org/movie/762433
